,All
51->52,0.04
52->53,0.06
53->54,0.06
54->55,0.16
55->56,0.0
56->57,0.0
57->58,0.12
58->59,0.08
59->60,0.02
60->61,0.0
61->62,0.0
62->63,0.02
63->64,-1.0
64->65,0.0
65->66,0.0
66->67,0.02
67->68,0.04
68->69,-1.0
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.0
74->75,0.0
75->76,0.0
76->77,0.0
77->78,0.06
78->79,0.1
79->80,0.02
80->81,0.0
81->82,-1.0
82->83,0.04
83->84,0.06
84->85,0.02
85->86,0.02
86->87,0.04
87->88,0.04
88->89,0.0
89->90,0.0
90->91,0.02
91->92,0.08
92->93,0.08
93->94,0.04
94->95,0.02
95->96,0.0
96->97,0.02
97->98,0.04
98->99,0.04
99->100,0.0
100->101,0.0
